Placa;Marca Veículo;Modelo Veículo;Data/Hora;Combustível;Estado;Endereço Posto;Quilometragem;Qtde (L);Preço Unitário;Valor Bruto
FRR1B42;CAOACHERY;TIGGO 8;15/05/2026 15:51;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;242041;1;180;R$ 180,00
CMW-9549;IVECO;DAYLY 7012;18/05/2026 14:21;ÓLEO LUBRIFICANTE;SP; LUZIA DOS SANTOS ALVES, 650 - JARDIM NAZARETH;0;2;52,2;R$ 104,40
GIT-5825;MITSUBISHI;OUTLANDER 2.0 P;19/05/2026 14:06;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;219444;1;49;R$ 49,00
FJG-7158;CHEVROLET;S10;21/05/2026 10:58;ÓLEO LUBRIFICANTE;SP;Barão do Rio Branco, 148  - Centro (Corredeira);260235;6;59,99;R$ 359,94
FJG-7158;CHEVROLET;S10;21/05/2026 10:59;FILTRO DE ÓLEO;SP;Barão do Rio Branco, 148  - Centro (Corredeira);260235;1;150;R$ 150,00
FJG-7158;CHEVROLET;S10;21/05/2026 10:59;FILTRO DE COMBUSTÍVEL;SP;Barão do Rio Branco, 148  - Centro (Corredeira);260235;2;129;R$ 258,00
GIT-5825;MITSUBISHI;OUTLANDER 2.0 P;26/05/2026 15:50;ÓLEO LUBRIFICANTE;SP;Tiradentes, 474 - Fragata;220680;1;288,5;R$ 288,50
FSH3I13;CAOACHERY;TIGGO 8;30/05/2026 10:09;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;274135;6;69;R$ 414,00
FSH3I13;CAOACHERY;TIGGO 8;30/05/2026 10:13;FILTRO DE AR;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;274535;1;149;R$ 149,00
FSH3I13;CAOACHERY;TIGGO 8;30/05/2026 10:15;FILTRO DE COMBUSTÍVEL;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;274535;1;39,9;R$ 39,90
FSH3I13;CAOACHERY;TIGGO 8;30/05/2026 10:16;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;274535;1;180;R$ 180,00
FML8H43;CAOACHERY;TIGGO 8;30/05/2026 15:00;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;214818;6;69;R$ 414,00
FML8H43;CAOACHERY;TIGGO 8;30/05/2026 15:02;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;214818;1;180;R$ 180,00
FCW8I62;CITROEN;JUMPY GREE;03/06/2026 10:05;ÓLEO LUBRIFICANTE;SP;Tiradentes, 474 - Fragata;104597;1;863,3;R$ 863,30
FKE6H32;CAOACHERY;TIGGO 8;04/06/2026 15:59;FILTRO DE AR;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;272095;1;149;R$ 149,00
FKE6H32;CAOACHERY;TIGGO 8;04/06/2026 16:00;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;272095;1;180;R$ 180,00
FKE6H32;CAOACHERY;TIGGO 8;04/06/2026 16:02;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;272095;5;49;R$ 245,00
FRR1B42;CAOACHERY;TIGGO 8;15/06/2026 14:42;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;251807;6;49;R$ 294,00
FRR1B42;CAOACHERY;TIGGO 8;15/06/2026 14:43;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;251807;1;180;R$ 180,00
FRR1B42;CAOACHERY;TIGGO 8;15/06/2026 14:45;FILTRO DE AR;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;251807;1;149;R$ 149,00
FJF-0688;FORD;F4000;24/06/2026 16:26;FILTRO DE COMBUSTÍVEL;SP; MARIA CANDIDA, 2179 - Vila Guilherme;162285;1;350;R$ 350,00
GIT-5825;MITSUBISHI;OUTLANDER 2.0 P;28/06/2026 14:27;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;229500;5;49;R$ 245,00
GIT-5825;MITSUBISHI;OUTLANDER 2.0 P;28/06/2026 14:28;FILTRO DE AR;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;229500;1;119;R$ 119,00
GIT-5825;MITSUBISHI;OUTLANDER 2.0 P;28/06/2026 14:30;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;229500;1;39;R$ 39,00
FMM5G11;CAOACHERY;TIGGO 8;10/07/2026 10:45;ÓLEO LUBRIFICANTE;SP;Tiradentes, 474 - Fragata;246696;1;1813;R$ 1.813,00
FKE6H32;CAOACHERY;TIGGO 8;19/07/2026 14:40;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;283746;1;180;R$ 180,00
FKE6H32;CAOACHERY;TIGGO 8;19/07/2026 14:42;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;283746;5;49;R$ 245,00
FKE6H32;CAOACHERY;TIGGO 8;19/07/2026 14:45;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;283746;1;159;R$ 159,00
FMM5G11;CAOACHERY;TIGGO 8;28/07/2026 15:30;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;249948;6;69;R$ 414,00
FMM5G11;CAOACHERY;TIGGO 8;28/07/2026 15:31;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;249948;1;180;R$ 180,00
FMM5G11;CAOACHERY;TIGGO 8;28/07/2026 15:32;FILTRO DE AR;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;249948;1;149;R$ 149,00
FCW8I62;CITROEN;JUMPY GREE;29/07/2026 12:03;CATALISADOR ARLA 32;SP; LUZIA DOS SANTOS ALVES, 650 - JARDIM NAZARETH;112854;17,36;3,471;R$ 60,26
FCW8I62;CITROEN;JUMPY GREE;03/08/2026 09:07;FLUIDO DE FREIO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;113118;2;19,9;R$ 39,80
FRR1B42;CAOACHERY;TIGGO 8;07/08/2026 16:51;FILTRO DE AR;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;261272;1;159;R$ 159,00
FRR1B42;CAOACHERY;TIGGO 8;07/08/2026 16:53;FILTRO DE COMBUSTÍVEL;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;261272;1;180;R$ 180,00
FRR1B42;CAOACHERY;TIGGO 8;07/08/2026 16:54;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;261272;1;39,9;R$ 39,90
FRR1B42;CAOACHERY;TIGGO 8;07/08/2026 16:55;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;261272;6;49;R$ 294,00
FJF-0688;FORD;F4000;12/08/2026 15:04;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;167383;20;29;R$ 580,00
FJF-0688;FORD;F4000;12/08/2026 15:05;FILTRO DE AR;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;167383;1;126;R$ 126,00
FJF-0688;FORD;F4000;12/08/2026 15:06;FILTRO DE COMBUSTÍVEL;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;167383;1;129;R$ 129,00
FJF-0688;FORD;F4000;12/08/2026 15:12;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;167383;1;229;R$ 229,00
FRU0D97;FORD;F4000;19/08/2026 14:44;ÓLEO LUBRIFICANTE;SP;RODOVIA COMANDANTE JOAO RIBEIRO DE BARROS, S/N - PQ DAS INDUSTRIAS;89544;9,56;3,06;R$ 29,25
GIT-5825;MITSUBISHI;OUTLANDER 2.0 P;23/08/2026 11:33;FILTRO DE AR;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;246793;1;119;R$ 119,00
GIT-5825;MITSUBISHI;OUTLANDER 2.0 P;23/08/2026 11:39;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;246793;5;49;R$ 245,00
GIT-5825;MITSUBISHI;OUTLANDER 2.0 P;23/08/2026 11:43;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;246793;1;39;R$ 39,00
TJY6A21;RENAULT;MASTER MINIBUS;26/08/2026 08:35;ÓLEO LUBRIFICANTE;SP;RODOVIA COMANDANTE JOAO RIBEIRO DE BARROS, S/N - PQ DAS INDUSTRIAS;63235;8,63;3,063;R$ 26,43
FJF-0688;FORD;F4000;28/08/2026 09:50;ÓLEO LUBRIFICANTE;SP;RODOVIA COMANDANTE JOAO RIBEIRO DE BARROS, S/N - PQ DAS INDUSTRIAS;168659;12,54;3,061;R$ 38,39
FMM5G11;CAOACHERY;TIGGO 8;29/08/2026 17:08;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;260603;5;49;R$ 245,00
FMM5G11;CAOACHERY;TIGGO 8;29/08/2026 17:10;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;260603;1;180;R$ 180,00
FMM5G11;CAOACHERY;TIGGO 8;29/08/2026 17:11;FILTRO DE AR;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;260603;1;149;R$ 149,00
FMM5G11;CAOACHERY;TIGGO 8;29/08/2026 17:12;FILTRO DE COMBUSTÍVEL;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;260603;1;39,9;R$ 39,90
FML8H43;CAOACHERY;TIGGO 8;02/09/2026 08:44;FILTRO DE ÓLEO;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;226909;1;39,9;R$ 39,90
FML8H43;CAOACHERY;TIGGO 8;02/09/2026 08:46;FILTRO DE COMBUSTÍVEL;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;226909;1;180;R$ 180,00
FML8H43;CAOACHERY;TIGGO 8;02/09/2026 08:47;FILTRO DE AR;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;226909;1;149;R$ 149,00
FML8H43;CAOACHERY;TIGGO 8;02/09/2026 08:48;ÓLEO LUBRIFICANTE;SP; JOAO RAMALHO, 555 - PARQUE SAO JORGE;226909;5;49;R$ 245,00
FCW8I62;CITROEN;JUMPY GREE;04/09/2026 11:42;ÓLEO LUBRIFICANTE;SP;Tiradentes, 474 - Fragata;117077;1;1009;R$ 1.009,00
